id;date;author;target;description;attack;target_class;attack_class;country;link;author_report;date_report;views
61;10/10/2019;InstaKilla;EscortForumIt[.]xxx and Hookers[.]nl;A Bulgarian hacker known as InstaKilla breaches EscortForumIt[.]xxx and Hookers[.]nl two online escort forums and stole the user information that he is now offering for sale on a hacking forum.;vBulletin vulnerability;Not Found;Not Found;"IT
NL";https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
62;10/10/2019;?;City of Carrollton;The city of Carrollton, Texas, is the victim of a cyber attack that makes some services unavailable.;Unknown;Not Found;Not Found;US;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
63;10/10/2019;?;Fairfield County High School;Attackers target students at a Fairfield County High School in a phishing scheme.;Account Hijacking;Not Found;Not Found;US;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
64;10/10/2019;?;Boston University;Over 1,000 Boston University students are forced to change their account passwords after the servers are flooded with spam emails from student accounts. The spam is believed to be a result of a 2018 breach of the educational site Chegg.;Malicious Spam;Not Found;Not Found;US;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
65;11/10/2019;?;Mission Health;Mission Health reveals that to have discovered, on September 13, that malicious code has been implanted into its online store websites.;Malicious Script Injection;Not Found;Not Found;US;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
66;11/10/2019;?;Single Individuals;Security researcher MalwareHunterTeam discovers an elaborate scheme to distribute a cryptocurrency trading program that installs a backdoor on a victim's Mac or Windows PC.;Malware;Not Found;Not Found;>1;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
67;11/10/2019;?;Single Individuals;A new variant of the Nemty ransomware (1.6) is distributed via the RIG exploit kit.;Malware;Not Found;Not Found;>1;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
68;11/10/2019;?;Click2Mail;Click2Mail sends out a notice to 200,000 customers to warn them of a hack discovered on October, 4th.;Unknown;Not Found;Not Found;US;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
69;11/10/2019;?;Hunt Memorial Hospital District;The Hunt Memorial Hospital District releases an update regarding a cyber attack occurred in May 2018.;Targeted Attack;Not Found;Not Found;US;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
70;11/10/2019;?;Monterey Health Center ;Monterey Health Center notifies a ransomware attack occurred on August 2019.;Malware;Not Found;Not Found;US;https://www.databreaches.net/monterey-health-center-in-oregon-central-valley-regional-center-in-california-both-announce-patient-data-breaches/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
71;11/10/2019;?;Central Valley Regional Center;Central Valley Regional Center in California notifies patients of a breach occurred when an employee’s email account was accessed by an unauthorized third party between July 25–August 2, 2019.;Account Hijacking;Not Found;Not Found;US;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
72;11/10/2019;?;South Knox School Corporation;South Knox School Corporation is hit by a ransomware.;Malware;Not Found;Not Found;US;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
73;12/10/2019;?;M6 Group (Groupe M6);The M6 Group (Groupe M6), France's largest privately-owned multimedia group, is the victim of ransomware, but none of the company's TV and radio channels suffered any downtime.;Malware;Not Found;Not Found;FR;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
74;12/10/2019;Attackers from North Korea;Mac owners working at cryptocurrency exchanges;Researchers from Objective-See discover a campaign carried out by North Korean hackers to attack Mac owners who work at cryptocurrency exchanges via a fake cryptocurrency trading app that actually infects users with malware.;Malware;Not Found;Not Found;>1;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
75;13/10/2019;?;Pilz;Pilz, one of the world's largest producers of automation tools, is hit by a ransomware attack.;Malware;Not Found;Not Found;DE;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
76;14/10/2019;Turbine Panda (China Ministry of State Security);Multiple targets in the aviation sector;A report from Crowdstrike claims that China systematically targeted companies in the aviation space to acquire intellectual property to narrow its gap in the aviation industry, and help Comac to build its own C919 airplane.;Targeted Attack;Not Found;Not Found;>1;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
77;14/10/2019;?;Pitney Bowes;Pitney Bowes is hit by a ransomware attack, according to a statement released from the mailing services company.;Malware;Not Found;Not Found;US;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
78;14/10/2019;Winnti;High-profile Asian mobile hardware and software manufacturer;Researchers from ESET reveal that the Winnti Group hackers have used a new modular Windows backdoor, called PortReuse, to target a high-profile Asian mobile hardware and software manufacturer.;Targeted Attack;Not Found;Not Found;N/A;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
79;14/10/2019;Pakistan;India;According to Logically AI, Pakistan starts a misinformation campaign against India, dubbed #GobackModi, via Twitter.;Social Networks Bot;Not Found;Not Found;IN;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
80;14/10/2019;?;Eurobet;Eurobet, the online gambling portal, is taken down by a DDoS attack.;DDoS;Not Found;Not Found;IT;https://www.italiasera.it/eurobet-it-inaccessibile-i-nostri-sistemi-non-sono-al-momento-disponibili-si-teme-attacco-hacker/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
81;14/10/2019;?;Jack Monroe;Jack Monroe says she has lost about £5,000 after her phone number was hijacked and re-activated on another Sim card.;Account Hijacking;Not Found;Not Found;UK;https://www.databreaches.net/sc-ransomware-attack-may-be-affecting-911-emergency-dispatch-in-jasper-co/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
82;15/10/2019;?;TrialWorks;TrialWorks is reportedly hit by a ransomware attack, shutting down its platform for at least four days and locking some lawyers out of their case files.;Malware;Not Found;Not Found;US;https://www.databreaches.net/sc-ransomware-attack-may-be-affecting-911-emergency-dispatch-in-jasper-co/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
83;15/10/2019;?;iOS Users;Researchers from Cisco Talos discover a scam group using the recently developed iOS jailbreak dubbed checkra1n, in a campaign designed to help the crooks earn money via click-fraud.;Malware;Not Found;Not Found;>1;https://www.databreaches.net/sc-ransomware-attack-may-be-affecting-911-emergency-dispatch-in-jasper-co/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
84;15/10/2019;Rocke;Multiple targets;Researchers from Anomali reveal the details of a new campaign from the Chinese Crypto-mining group dubbed Rocke, switching its C2 infrastructure from Pastebin to a self-hosted solution.;Malware;Not Found;Not Found;>1;https://www.databreaches.net/sc-ransomware-attack-may-be-affecting-911-emergency-dispatch-in-jasper-co/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
85;15/10/2019;?;Ingredion Incorporated;Ingredion Incorporated reveals that it recently detected suspicious activity on some data center servers due to malware.;Malware;Not Found;Not Found;US;https://www.databreaches.net/sc-ransomware-attack-may-be-affecting-911-emergency-dispatch-in-jasper-co/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
86;15/10/2019;?;BriansClub;“BriansClub” one of the largest underground stores for buying stolen credit card data, is itself hacked. The data stolen from BriansClub encompasses more than 26 million credit and debit card records.;Unknown;Not Found;Not Found;N/A;https://www.databreaches.net/sc-ransomware-attack-may-be-affecting-911-emergency-dispatch-in-jasper-co/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
87;15/10/2019;?;Jasper County;Jasper County suffers a ransomware attack on their countywide systems, including email and emergency response systems.;Malware;Not Found;Not Found;US;https://www.databreaches.net/sc-ransomware-attack-may-be-affecting-911-emergency-dispatch-in-jasper-co/;Paolo Passeri					;2019-11-07T14:18:06+00:00;20,249
1;01/08/2019;?;Three US companies in the utilities industry;Researchers from Proofpoint discover a new campaign, possibly developed by a nation, targeting three US utilities via a malware called LookBack, The emails purporting came from the National Council of Examiners for Engineering and Surveying (NCEES).;Targeted Attack;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
2;01/08/2019;Hexane Group;Companies in the Middle East (especially in Kuwait);Researchers from Dragos discover a threat group dubbed Hexane focused on organizations in the oil and gas industry and targeting telco companies to hit its final targets.;Targeted Attack;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
3;01/08/2019;?;Individuals in South Korea;One million card details are put up for sale online in South Korea.;Unknown;Not Found;Not Found;KR;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
4;01/08/2019;"UAE
Egypt";Countries, primarily in the Middle East and in North and East Africa, including Libya, Sudan, Comoros, Qatar, Turkey, Lebanon, Syria, Jordan and Morocco;Facebook removes 259 Facebook accounts, 102 Pages, 5 Groups, 4 Events and 17 Instagram accounts for engaging in coordinated inauthentic behavior that originated in the UAE and Egypt and focused on a number of countries in Middle East and Africa.;Fake Social Network Groups/Pages;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
5;01/08/2019;Saudi Arabia;Countries in Middle East and Northern Africa, including Qatar, Saudi Arabia, UAE, Bahrain, Egypt, Morocco, Palestine, Lebanon and Jordan;Facebook removes 217 Facebook accounts, 144 Pages, 5 Groups and 31 Instagram accounts involved in coordinated inauthentic behavior originating from Saudi Arabia that focused primarily on the Middle East and Northern Africa.;Fake Social Network Groups/Pages;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
6;01/08/2019;?;StockX;StockX, a popular site for buying and selling sneakers and other apparel, resets customer passwords after it is hacked back in May. More than 6.8 million records were stolen.;Unknown;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
7;01/08/2019;?;Poshmark;Poshmark, an online marketplace where North American users can buy and sell new or used clothes, shoes, and accessories, discloses a data breach: an unauthorized party gained access to its servers from where it stole personal information.;Unknown;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
8;01/08/2019;?;Single Individuals;Researchers from enSilo reveal the details of DealPly, an adware able to abuse the Microsoft and McAfee reputation services to avoid detection.;Malware;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
9;01/08/2019;?;Single Individuals;Researchers from Proofpoint reveal the details of SystemBC, a malware able to install a proxy on infected computers.;Malware;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
10;01/08/2019;?;Single Individuals;A new Exploit Kit dubbed Lord emerges, able to push the njRAT and ERIS Ransomware.;Malware;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/new-lord-exploit-kit-pushes-njrat-and-eris-ransomware/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
11;01/08/2019;?; Librería Porrúa;A bookseller in Mexico named Librería Porrúa leaves a MongoDB exposed on the Internet and has the 2.1 customer records stolen and replaced by a ransom note.;Misconfigurations;Not Found;Not Found;MX;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
12;01/08/2019;?;Banking users in Brazil and Mexico;Researchers from ESET reveal the details of Amavaldo, a banking trojan targeting users in Brazil and Mexico.;Malware;Not Found;Not Found;"BR
MX";https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
13;01/08/2019;?;Morris Jeff Community School;Morris Jeff Community School is hit by an unspecified security breach.;Unknown;Not Found;Not Found;US;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
14;01/08/2019;?;Broken Arrow Public Schools;Broken Arrow Public Schools are hit by a ransomware attack.;Malware;Not Found;Not Found;US;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
15;02/08/2019;?;City of Naples, Florida;The City of Naples, Florida, loses $700,000 after a spear phishing attack.;Account Hijacking;Not Found;Not Found;US;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
16;02/08/2019;Lotsy;Italian and Spanish-speaking users;Group-IB discover some fraudulent campaigns carried out by Lotsy group involving the use of dozens of well-known brands aimed at Italian and Spanish-speaking customers. ;Fraudulent Websites;Not Found;Not Found;"IT
ES";https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
17;02/08/2019;@j3ws3r;US Mobile Phone Users;Twitter user @j3ws3r, attempts to send text messages to every mobile phone in the United States using a vulnerability in the SMS gateways.;SMS Gateway Vulnerability;Not Found;Not Found;US;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
18;02/08/2019;?;Fiberhome routers;Researchers from 360 Netlab discover a new botnet targeting Fiberhome routers.;Malware;Not Found;Not Found;>1;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
19;02/08/2019;?;SuperINN;SuperINN notifies its clients of a hack impacting more than 43,000 consumers.;SQLi;Not Found;Not Found;US;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
20;02/08/2019;?;Presbyterian Healthcare Services;Presbyterian Healthcare Services is the victim of a phishing attack impacting around 183,000 patients and health plan members.;Account Hijacking;Not Found;Not Found;US;https://www.databreaches.net/presbyterian-data-breach-affects-some-183000-patients/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
21;03/08/2019;Mamad Warning;Murfreesboro Water Department;The online access portal for Murfreesboro Water Department bill payment is defaced.;Defacement;Not Found;Not Found;US;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
22;05/08/2019;North Korea;Banks and cryptocurrency exchanges;A confidential U.N. report reveals that North Korea has generated an estimated $2 billion for its weapons of mass destruction programs using “widespread and increasingly sophisticated” cyberattacks to steal from banks and cryptocurrency exchanges.;Targeted Attack;Not Found;Not Found;>1;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
23;05/08/2019;APT28 AKA Fancy Bear AKA Strontium;Multiple Organizations;"Microsoft reveals that malicious actors from APT28 are using ""internet of things"" devices like internet-connected phones and printers to break into corporate networks.";Misconfigurations;Not Found;Not Found;>1;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
24;05/08/2019;Machete;Venezuelan military;Researchers from ESET reveal the details of Machete, a cyber espionage group active since 2010, stealing sensitive files from the Venezuelan military.;Targeted Attack;Not Found;Not Found;VE;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
25;05/08/2019;Muhammad Fahd;AT&T;The US Department of Justice reveals that an AT&T employees took bribes to unlock millions of smartphones, and to install malware and unauthorized hardware on the company's network.;Malware;Not Found;Not Found;US;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
26;05/08/2019;?;CafePress;CafePress, the custom T-shirt and merchandise company, is hacked. According to various reports, the breach that compromised more than 23 million accounts happened on February 20.;Unknown;Not Found;Not Found;US;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
27;05/08/2019;?;Single Individuals;Researchers at Fortinet identify a new version of Ursnif in the wild that is spreading via phishing emails containing weaponized Word documents.;Malware;Not Found;Not Found;>1;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
28;05/08/2019;?;Chinese-speakers;Researchers from Fortinet discover a new watering hole campaign using a Chinese news website to spread backdoors to the PCs of innocent readers.;Watering Hole;Not Found;Not Found;CN;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
29;05/08/2019;?;Multiple Organizations across Europe and the United States;Researchers from Accenture discover a new version of the MegaCortex ransomware hitting enterprise targets with ransom demands as high as $5.8 million.;Malware;Not Found;Not Found;>1;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
30;05/08/2019;?;Wordpress Sites;Researchers from Sucuri discover a malicious Wordpress plugin, ironically called WP Security, able to encrypt blog posts and render the content unreadable.;Malicious Wordpress plugin;Not Found;Not Found;>1;https://threatpost.com/cryptolocking-wordpress-plugin/147016/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
31;05/08/2019;?;Camp Verde Unified School District;"Camp Verde Unified School District reveals to have been hit by a ransomware attack.
";Malware;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
32;06/08/2019;?;Single Individuals;Researchers from Avast discover a new malware, dubbed Clipsa, that besides stealing and mining cryptocurrency on infected hosts, also launches brute-force attacks on WordPress sites.;Malware;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
33;06/08/2019;?;Single Individuals;Researchers from Trend Micro discover a new variant of the LokiBot trojan, using steganography to gain persistence.;Malware;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
34;06/08/2019;?;Vulnerable IoT devices;A new variant of Echobot botnet is spotted to include over 50 exploits leading to remote code execution (RCE) vulnerabilities in various Internet-of-Things devices.;Multiple Vulnerabilities;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
35;06/08/2019;Aggah;Multiple Organizations;Researchers at Yoroi-Cybaze ZLab discover a new wave of attacks linked to the cyber espionage campaign tracked as Roma225. ;Targeted Attack;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
36;06/08/2019;?;Walmart users;Researchers from DomainTools discover a new spoofing campaign mimicking the Walmart brand and several career, dating, and movie and TV websites, with more than 540 domains detected so far.;Account Hijacking;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
37;06/08/2019;?;Single Individuals;Researchers from ReversingLabs detect a clever phishing campaigns that leverages PDF documents to create fake login pages.;Account Hijacking;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
38;07/08/2019;?;State Farm;"US banking and insurance giant State Farm says it suffered a credential stuffing attack in July, during which ""a bad actor"" was able to confirm valid usernames and passwords for State Farm online accounts.";Credential Stuffing;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
39;07/08/2019;APT41;Multiple Organizations;Researchers from FireEye reveal the details of APT41 a Chinese state-sponsored actor characterized by the fact of conducting both espionage and financially motivated activity for personal gain.;Targeted Attack;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
40;07/08/2019;?;National Baseball Hall of Fame;The website for the National Baseball Hall of Fame is hacked to include a  MageCart script that stole the payment information of customers who purchased items on the site. The infection occurred between November 15, 2018 and May 14, 2019.;Malicious Script Injection;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/national-baseball-hall-of-fame-hit-by-payment-card-stealing-attack/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
41;07/08/2019;?;Township of Maplewood;The Township of Maplewood discovers a malware infection. The infection started on December 2018.;Malware;Not Found;Not Found;US;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
42;08/08/2019;?;Multiple Organizations;Researchers from Proofpoint discover an ongoing phishing campaign targeting several organizations with the help of DocuSign branded spam e-mails, and using Amazon Web Services (AWS) to host their landing pages.;Account Hijacking;Not Found;Not Found;>1;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
43;08/08/2019;?;Users in France;Researchers from ESET discover a new Windows malware, dubbed Varenyky, which uses infected computers to send out spam campaigns, and also records the victim's desktop when the user visits an adult website.;Malware;Not Found;Not Found;FR;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
44;08/08/2019;?;Single Individuals;Researchers from Carbon Black discover a new campaign, dubbed Smominru, able to infect over 500,000 machines worldwide for mining cryptocurrency and stealing access data. ;Malware;Not Found;Not Found;>1;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
45;08/08/2019;?;Single Individuals;Researchers from Zscaler discover a new trojan, dubbed Saefko, written in .NET and equipped with a variety of functions to steal bank details, online gaming credentials, and cryptocurrency wallets.;Malware;Not Found;Not Found;>1;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
46;08/08/2019;?;Android Users;Researchers from Dr. Web discover a set of Android Apps with over 100 million installs, containing a clicker Trojan tracked as Android.Click.312.origin and  Android.Click.313.origin.;Malware;Not Found;Not Found;>1;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
47;08/08/2019;?;Transport for London (TfL);Transport for London (TfL) is forced to temporarily suspend the website for its Oyster system after an apparent credential stuffing attack on customers.;Credential Stuffing;Not Found;Not Found;UK;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
48;08/08/2019;?;TAFE NSW;TAFE NSW has two dozen employees hit by a phishing attack.;Account Hijacking;Not Found;Not Found;AU;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
49;09/08/2019;?;Air New Zealand;Air New Zealand sends e-mails to customers enrolled in its Airpoints loyalty program​​​​​​ to warn them of a phishing attack that successfully compromised the email accounts of two staff members.;Account Hijacking;Not Found;Not Found;NZ;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
50;10/08/2019;?;30 Bellingcat and Russia-focused journalists;Journalists from Bellingcat discover a sophisticated phishing campaign targeting 30 Bellingcat and Russia-focused journalists using the end-to-end encrypted ProtonMail email service.;Account Hijacking;Not Found;Not Found;>1;https://www.bellingcat.com/news/uk-and-europe/2019/08/10/guccifer-rising-months-long-phishing-campaign-on-protonmail-targets-dozens-of-russia-focused-journalists-and-ngos/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
51;10/08/2019;?;Litecoin Wallets;Litecoin wallets have been hit by a new kind of cyber-attack called dusting.;Dusting Attack;Not Found;Not Found;>1;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
52;10/08/2019;VandaTheGod;University of Florida;VandaTheGod defaces multiple sites associated with the University of Florida.;Defacement;Not Found;Not Found;US;https://www.bleepingcomputer.com/news/security/curious-orca-bec-scammers-use-email-probes-to-validate-targets/;Paolo Passeri					;2019-09-19T08:55:09+01:00;18,562
